objectid,filename,title,creator,description,date piece made,filedate,made for,art form,filesize,format,rights
ab001,BFA 1 editied.tif,Smore Stamp,Avery Behnke,"A watercolor piece that resembles a stamp, depicting making smores",2026-03-15,2026-03-24,BFA Show,Watercolor,"11,207 KB",TIF,"Avery Behnke, 2026"
ab002,BFA 2 edited.tif,Niabi Zoo Ticket,Avery Behnke,"A watercolor piece that resembles a Niabi Zoo ticket, featuring the zoo's train",2026-03-12,2026-03-24,BFA Show,Watercolor,"9,941 KB",TIF,"Avery Behnke, 2026"
ab003,BFA 3.tiff,Baby Deer,Avery Behnke,"A watercolor piece that resembles a brown, baby deer",2026-03-09,2026-03-24,BFA Show,Watercolor,"8,610 KB",TIFF,"Avery Behnke, 2026"
ab004,BFA 4.tiff,Fourth of July,Avery Behnke,A watercolor piece that resembles a photograph of five cousins at fireworks for the Fourth of July,2026-03-05,2026-03-24,BFA Show,Watercolor,"10,685 KB",TIFF,"Avery Behnke, 2026"
ab005,BFA 5.tiff,Pike's Peak Railway,Avery Behnke,A watercolor piece resembling a photograph of Pike's Peak Railway,2026-03-18,2026-03-24,BFA Show,Watercolor,"7,092 KB",TIFF,"Avery Behnke, 2026"
ab006,BFA 6 edited.tif,Two Sisters On The Swing Set,Avery Behnke,"A watercolor piece that resembles a photograph of two girls playing on the swing set in their backyard, with their dad supervising",2026-03-10,2026-03-24,BFA Show,Watercolor,"18,044 KB",TIF,"Avery Behnke, 2026"
ab007,BFA 7.tiff,Two Siblings With Their Grandparents,Avery Behnke,A watercolor piece that resembles a photograph of a brother and sister on a boat with their grandparents,2026-03-22,2026-03-24,BFA Show,Watercolor,"6,683 KB",TIFF,"Avery Behnke, 2026"
ab008,bfa portfolio-01.jpg,Album Packaging: Lizzy McAlpine,Avery Behnke,"A paper piece that is used to hold a vinyl record, depicting Lizzy McAlpine's album ""Older"" in different packaging",2026-03-20,2026-03-30,Graphic Design Four,Graphic Design/Paper Packaging,"5,157 KB",JPG,"Avery Behnke, 2025"
ab009,bfa portfolio-08.jpg,Flower Jewelry Holder,Avery Behnke,"A ceramic jewelry holder in the shape of a blue flower, on top of a white and gold base",2025-03-29,2025-03-30,Ceramics 1: Handbuilding,Ceramic,"6,158 KB",JPG,"Avery Behnke, 2025"
ab010,bfa portfolio-13.jpg,Koi Fish Pond With Flowers,Avery Behnke,"A lithography print depicting a koi fish in a pond, surrounded by flowers",2025-02-09,2025-02-12,Intro To Printing,Lithography Print,"4,718 KB",JPG,"Avery Behnke, 2025"
ab011,Intro to Printing,Holding Flowers,Avery Behnke,"An intaglio aquatint print depicting a person holding a small bouquet of flowers, with abstract swiggles and shapes surrounding it",2025-05-01,2025-05-05,Intro To Printing,Intaglio Aquatint Print,"2,782 KB",JPG,"Avery Behnke, 2025"
ab012,Screenprint,"Ballerina ""Reaching For The Stars""",Avery Behnke,"A reduction print of a ballerina, surrounded by a city, with the phrease ""Reach for the Stars"" below, with each letter being its own size and font",2025-12-07,2025-12-08,Screenprint,Reduction Print,"3,289 KB",JPG,"Avery Behnke, 2025"
ab013,screenprint_project1_1.tiff,Martini ,Avery Behnke,"A screenprint of a martini glass with purple flowers in it, on a marble background, surrounded by blue stars",2025-09-15,2025-12-01,Screenprint,Screenprint,5.200 KB,TIFF,"Avery Behnke, 2025"
ab014,screenprint_project2.tiff,Chad Behnke,Avery Behnke,"A reduction print of a man in sunglasses, tailgating at an Iowa Hawkeye's game with a drink in his hand, in shades of blue",2025-11-12,2025-12-01,Screenprint,Reduction Print,"1,860 KB",TIFF,"Avery Behnke, 2025"
ab015,screenprint_project3.tiff,House of Fine Arts,Avery Behnke,A CMYK print of a photo of the House of Fine Arts,2025-10-24,2025-12-01,Screenprint,CMYK Print,"2,694 KB",TIFF,"Avery Behnke, 2025"
